カテゴリ補足,名称,住所,緯度,経度,,,,,,,,,,,,,,,,
歴史的建造物,蓬莱橋,島田市南2丁目地先,34.825524,138.184443,,,,,,,,,,,,,,,,
他に分類されない行祭事・イベント,ミニ鉄道,島田市野田,34.850652,138.17574,,,,,,,,,,,,,,,,
高原,どうだん原,島田市千葉835-411,34.886626,138.157401,,,,,,,,,,,,,,,,
釣り場,やまめ平,島田市笹間下1107,34.969073,138.147591,,,,,,,,,,,,,,,,
その他スポーツ・レクリエーション,やまゆり,島田市伊久美5202,34.919349,138.125798,,,,,,,,,,,,,,,,
史跡,愛宕塚古墳,島田市阪本,34.820317,138.208365,,,,,,,,,,,,,,,,
神社・仏閣,医王寺,島田市金谷古横町,34.799511,138.219838,,,,,,,,,,,,,,,,
その他自然,鵜山の七曲,島田市川根町葛籠,34.981936,138.072865,,,,,,,,,,,,,,,,
その他温泉・健康,家山の足湯,島田市川根町家山,34.940205,138.077475,,,,,,,,,,,,,,,,
その他自然,家山梅園,島田市川根町家山,34.945503,138.076528,,,,,,,,,,,,,,,,
史跡,吉田絃二郎句碑,島田市南2丁目地先（蓬莱橋番小屋脇）,34.825524,138.184443,,,,,,,,,,,,,,,,
史跡,駒形古墳,島田市野田,34.845716,138.187516,,,,,,,,,,,,,,,,
その他自然　,桜トンネル,島田市川根町家山,34.929393,138.079145,,,,,,,,,,,,,,,,
河川,笹間川ダム,島田市川根町笹間渡,34.971289,138.093766,,,,,,,,,,,,,,,,
神社・仏閣,種月院,島田市阪本3371,34.810787,138.216131,,,,,,,,,,,,,,,,
その他自然,寿永の桜,島田市川根町笹間渡2261,34.975339,138.098784,,,,,,,,,,,,,,,,
史跡,石原純詩碑,島田市南2丁目地先（蓬莱橋番小屋脇）,34.825638,138.184407,,,,,,,,,,,,,,,,
食・グルメ,石畳茶屋,島田市金谷坂町2482-1,34.816853,138.124636,,,,,,,,,,,,,,,,
食・グルメ,川越茶屋,島田市河原2丁目14-5,34.831589,138.155804,,,,,,,,,,,,,,,,
史跡,宗長庵趾,島田市日之出町,34.830453,138.173771,,,,,,,,,,,,,,,,
神社・仏閣,大井神社,島田市大井町2316,34.833783,138.171777,,,,,,,,,,,,,,,,
史跡,大井川歌碑,島田市中央町1-1,34.835953,138.177006,,,,,,,,,,,,,,,,
史跡,中條景昭,島田市阪本,34.817583,138.195575,,,,,,,,,,,,,,,,
公園,天王山公園,島田市川根町家山579-52,34.940811,138.074227,,,,,,,,,,,,,,,,
史跡,芭蕉句碑,島田市本通3丁目2-1(島田信用金庫本店角),34.833001,138.174856,,,,,,,,,,,,,,,,
史跡,牧之原東照宮,島田市阪本,34.815194,138.191772,,,,,,,,,,,,,,,,
河川,野守の池,島田市川根町家山,34.93958,138.070385,,,,,,,,,,,,,,,,
その他歴史,ＳＬ転車台,島田市金谷東2丁目1112-2,34.82568,138.137336,,,,,,,,,,,,,,,,
動・植物園,ばらの丘公園,島田市野田1652-1,34.851076,138.176281,,,,,,,,,,,,,,,,
博物館,お茶の郷,島田市金谷富士見町3053-2,34.814283,138.134546,,,,,,,,,,,,,,,,
食・グルメ,さんぽ茶屋,島田市菊川643-2,34.819411,138.10895,,,,,,,,,,,,,,,,
